Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
"TOYOKUNI, Utagawa",Actor Sojouro III,,graphics,assisted purchase,1997,,1769,1825,Japan,1795
CHIKANOBU Matsuno,Hanging scroll: Standing beauty,,painting,gift,2009,,1716,,Japan,
"BURSTOW, Graham","Family in lifesaving, Coolangatta (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1927,2022,Australia,1986
"DYSON, Will (Creator)",Tommies staging in the tunnels (from 'Australia at war' series),,graphics,gift,1919,,1880,1938,,1917
"TROLLOPE, Andrew",Untitled,,graphics,museum accession,1981,,1947,,,1980
"WILLIAMS, Fred (Creator)",Lal-Lal Falls (from 'Fred Williams lithographs 1976-1978' portfolio),,graphics,museum accession,1983,,1927,1982,,1976
"NADJUNGDANGA, Daisy",Basket,,,gift,2002,,1945,,Australia,2001
"HOLZER, Jenny",Men don't protect you anymore,,object,gift,2010,,1950,,United States,1991
"BOSE, Santiago",Let it bleed,,graphics,gift,1995,,1949,2002,Philippines,1994
"de BOER, Hans (Photographer) b.unknown","Dé-coll/age music + ""Kleenex"" (performance work, Amsterdam, 5 October 1962)",,photography,gift,1997,,1932,1998,Germany,1962
"HIGGINS, Roma",The nursery,,painting,museum accession,1980,,1908,1979,Australia,1978
"KING, Lawrence (Creator)",Plate:  Wattle,,object,gift,1993,,1925,2002,,1955
"KING, Lawrence (Creator)",Mug:  (Red currant design),,object,gift,1993,,1925,2002,,1955
"YAM, Doreen",Abmin (String bag),,,assisted purchase,2008,,1947,,Australia,2007
"BURSTOW, Graham","March past, Toowoomba (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1927,2022,Australia,1986
"ALLAN, Micky (Creator)",Hand coloured photo show,,graphics,gift,1992,,1944,,,1979
"UNSWORTH, Ken (Creator)",Villa des Vergessens III (from 'AUS Australien' 1988 portfolio),,graphics,bequest,1989,,1931,,,1987
UNKNOWN,Village scene in spring,,painting,gift,1976,,,,Japan,
"DRYSDALE, Russell",Sheet of studies for 'Bush fire',,graphics,gift,1990,,1912,1981,New Zealand,1944
"BUTLER, Charlie",Spear-thrower,,object,museum accession,1990,,,,,1989
"WERNER, Richard",Jan Barber,,graphics,gift,1996,,1932,,United States,1955
"FORTHUN, Louise",Luscious,,painting,gift,1997,,1959,,Australia,1993
"LAHEY, Vida",The new bridge,,painting,gift,1997,,1882,1968,Australia,1931
"DAUMIER, Honore",Queu poisson!,,graphics,museum accession,1975,,1808,1879,France,1856
"WOODS, Carmel",Hexagonal vase,,object,gift,1998,,1906,1998,Australia,1934
"KUHN, Maria",Christmas card:  Eventide Home,,graphics,gift,1987,,1920,1981,Australia,1950
"FANTIN-LATOUR, Henri",La source (The source),,graphics,museum accession,1990,,1836,1904,France,1903
"NOBLE, Anne",Untitled (A cell in the monastery) (from 'In the presence of angels - photographs of the contemplative life' series),,photography,gift,1993,,1954,,New Zealand,1988
"BEALE, Style of Mary",Lady holding an orange,,painting,gift,1995,,1632,1697,,
"VESTERBERG, Katarina",Fossil fish,,painting,gift,1995,,1962,,Australia,1990
"SMART, Sally",Imaginary anatomy (no. 7 from 'Scribble dress' series),,graphics,gift,1996,,1960,,South Africa,1995
"MEADMORE, Clement (Creator)",Sling chair,,object,gift,2009,,1929,2005,,1963
"MARTIN, Lin","Jean and Billy Smith, retired, Brisbane (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1953,,Australia,1986
"RAWLE, Samuel (Engraver)",Brignall Church (from 'History of Richmondshire'),,graphics,gift,1953,,1771,1860,,1821
"DUPAIN, Max","At Macknade Mill, Queensland",,photography,gift,1987,,1911,1992,New Zealand,1958
"CAMPBELL, Eliza (Collaborating artist)",Older than the hills II,,graphics,bequest,1991,,1959,1950,New Zealand,1988
"BALDESSARI, John",Heaven and Hell,,graphics,museum accession,1990,,1931,2020,United States,1988
"COUNIHAN, Noel (Creator)",A child's head (plate 5 from 'Lithographs by Counihan' portfolio),,graphics,gift,1991,,1913,1986,,1948
LUDWIG MOSER & SÖHNE,Vase,,object,gift,1991,,1857,,Czech Republic,
"SELLBACH, Udo","(Untitled 18) (from 'Night watch, a print cycle of thirty etchings' portfolio)",,graphics,gift,1991,,1927,2006,South Africa,1990
"LEWITT, Sol (Creator)",(Untitled) (from 'Forms derived from a cube in colour (simple and superimposed) and black and gray' series),,graphics,museum accession,1996,,1928,2007,,1984
SCHLAGGENWALD,Cup and saucer,,object,gift,1988,,1793,1866,Czech Republic,1820
"HIPKINS, Gavin",Near Rotorua (Rock) (from 'The Homely' series 1997-2000),,photography,assisted purchase,2008,,1968,,New Zealand,1999
"COUNIHAN, Noel (Creator)",Peace means life (from 'Linocuts Counihan '59' portfolio),,graphics,museum accession,1961,,1913,1986,,1959
"MOORE, Ross",Dear Primitive,,installation,gift,1997,,1954,,New Zealand,1994
"MORTON, Callum",Home,,installation,gift,1997,,1965,,Australia,1995
"REES, Lloyd","Extended view of Hamilton from Cowlishaw's, urn hedge and leaning trees in foreground",,graphics,gift,1999,,1895,1988,Australia,1914
"GIMBLETT, Max",Birth,,graphics,gift,2000,,1935,,New Zealand,1998
"GIMBLETT, Max",Frog and moon (Lake/Plop!),,graphics,gift,2000,,1935,,New Zealand,1986
"EGGLESTON, William",Untitled,,photography,gift,2008,,1939,,United States,1974
"WERNER, Richard",Young outcast,,graphics,gift,1996,,1932,,United States,1962
"MIYOSHI, Kozo","Roots, B12",,photography,museum accession,1996,,1947,,Japan,1987
"BUNNY, Rupert","Untitled (back view of female nude, standing with hand on head)",,graphics,gift,1961,,1864,1947,United States,1920
"WILLIAMS, Fred (Etcher)",Little man (from 'Music hall' series),,graphics,gift,1994,,1927,1982,United States,1955
AH XIAN,Metaphysica: Maitreya,,sculpture,gift,2010,,1960,,United States,2007
"HIROSHIGE, Ichiryusai","Ayase-gawa, Kane-ga-guchi (no. 69 from 'Meisho Edo hyakkei' series) (Kane-ga-fuchi, Ayase River (no. 69 from 'One hundred famous views of Edo' series))",,graphics,gift,1992,,1797,1858,Japan,1857
"PARR, Mike",Great distances between small towns (portfolio),,graphics,museum accession,1993,,1945,,Australia,1990
LEE Ufan,Kikochi (A port of call) no. 4,,graphics,museum accession,1996,,1936,,South Africa,1991
"LAWLOR, Adrian",Girl with headgear,,painting,museum accession,1990,,1889,1969,Australia,1937
"YOKOO, Tadanori (Creator)",Irana-devaloka-manu-ja-bhumi (from 'Shambala' portfolio),,graphics,museum accession,1991,,1936,,,1974
"YOKOO, Tadanori (Creator)",Prthivi-bhumi (from 'Shambala' portfolio),,graphics,museum accession,1991,,1936,,,1974
"LYMBURNER, Francis",Bus stop,,painting,gift,1992,,1916,1972,Australia,1949
"NEWMARCH, Ann","Jake and Bruno, 9 yrs and 4 yrs (from 'Kids' series)",,graphics,gift,1994,,1945,2022,South Africa,1981
"BUNNY, Rupert","(Female nude, seated)",,graphics,gift,1961,,1864,1947,United States,1920
"RICHARDS, Michael",Buy guns,,photography,museum accession,1984,,1948,,Australia,1980
"WATANABE, Shunmei",Mt Fuji over clouds,,graphics,gift,1996,,1937,,Japan,1994
"MARTENS, Conrad",Franklyn Vale,,painting,assisted purchase,2000,,1801,1878,United States,1854
"EDWARDS, Mary Cooper",Queensland landscape,,graphics,gift,2002,,1882,1963,New Zealand,1932
LEE Bul,Untitled (Cyborg hand),,sculpture,gift,2002,,1964,,South Africa,2000
UNKNOWN,Hanging,,object,museum accession,1981,,,,Indonesia,1900
"WALLER, Margaret","Three generations of women in an Asmara family, Eritrea (from 'Eritrea at peace' series)",,photography,assisted purchase,1992,,1954,,Australia,1991
"PEDERSEN, Lilian",Embroidered panel:  Country lane,,object,bequest,1983,,1898,1983,Australia,
"GIMBLETT, Max",Kouros,,graphics,gift,2000,,1935,,New Zealand,1977
"TAYLOR, Walter",Jewel casket,,object,gift,1926,,1958,,New Zealand,1925
"REYDON, Cotje",Table scarf,,object,gift,1987,,1887,1971,Australia,
"KUNISADA, Utagawa",The Dolls' Festival (right-hand panel of triptych),,graphics,museum accession,1976,,1786,1865,Japan,1860
"PALMER, Warren",Topless - Old Woman Island (from 'The bather' series),,object,gift,1989,,1941,2022,Australia,1989
"PIPER, Adrian (Creator)",Let's talk (from '10:  Artist as Catalyst' portfolio),,graphics,gift,1994,,1948,,,1992
"ROSENSTENGEL, Paula",Solitude,,graphics,gift,1995,,1920,1999,Australia,1940
"LINDSAY, Norman",Her Majesty,,graphics,gift,1972,,1879,1969,Australia,1934
"TINGUELY, Jean",For Lino Fayen,,graphics,assisted purchase,1995,,1925,1991,Switzerland,1970
"HOPPNER, John (Painter)",Portrait (sitter unknown),,graphics,gift,1990,,1758,1810,,1785
UNKNOWN,Amulet,,object,bequest,1975,,,,China,
"MICHELL, Keith (Creator)","'Look in thy glass and tell the face thou viewest, Now is the time that face should form another.' (sonnet 3) (no. 9 from 'The Shakespeare sonnet suite')",,graphics,museum accession,1979,,1928,1976,,1976
"MACKINOLTY, attrib. to Chips (Creator)",Remember Mick Fowler,,graphics,gift,1993,,1954,,,1976
"O'BRIEN, Justin","The studio, Rome",,painting,museum accession,1983,,1917,1996,United States,1982
"GILLIES, John (Video maker)",Techno/Dumb/Show,,new media,museum accession,1996,,1960,1986,New Zealand,1991
"YAXLEY, William",Machete man,,sculpture,gift,1996,,1943,,Australia,1995
"NAMATJIRA, Albert",(Spirit figures),,painting,gift,1996,,1902,1959,Australia,1956
"HERBERTE, Sandy",Expo Picture #12,,painting,gift,1990,,1960,,Australia,1990
"EISHI, Hosoda (Creator)",Komachi praying for rain (no. 17 from incomplete set of 25 reprints),,graphics,gift,1990,,1756,1829,,1961
"MOHAMEDI, Nasreen",Untitled,,photography,assisted purchase,2004,,1937,1990,India,1970
"HILLS, Noela",In Toscano,,painting,museum accession,1982,,1954,1987,Australia,1982
"REES, Lloyd (Creator)","Old Medical School, University of Sydney",,graphics,museum accession,1976,,1895,1988,,1922
"BEADNELL, Catherine (Collaborating artist)",Space dykes are go!,,graphics,gift,1993,,1965,1966,,1992
"McMAHON, Marie (Creator)",Needlework demonstrations,,graphics,gift,1993,,1953,,,1976
"ROBERTSON, Toni (Collaborating artist)",Still life with overtones,,graphics,gift,1993,,1953,1954,,1977
"NESHAT, Shirin",Untitled (from the 'Women of Allah' series),,photography,gift,1996,,1957,,Iran,1994
"KUNISADA, Utagawa (Creator)",Life in Yoshiwara.  Courtesan thinking of her love on a rainy evening (from 'Yoshiwara Tokei Nihen Mitate Hakkei' series),,graphics,museum accession,1971,,1786,1865,,1825
"DUNDAS, Douglas",Peg Oldfield,,painting,gift,1998,,1900,1981,New Zealand,1931
"PEART, John",Colour square III,,painting,gift,1999,,1945,2013,Australia,1968
UNKNOWN (Creator),"(Quince tree, Stanthorpe)",,photography,bequest,1994,,,,,1914
"STRINGER, Richard","House, Roma",,photography,museum accession,1987,,1936,,Australia,1982
"SMITH, Frank William (Will)",(Antelope),,graphics,gift,1991,,1917,1993,Australia,1940
"SMITH, Frank William (Will)",(Antelope),,graphics,gift,1991,,1917,1993,Australia,1940
"SMITH, Frank William (Will)",(Antelope),,graphics,gift,1991,,1917,1993,Australia,1941
UNKNOWN,(Portrait of a young woman),,photography,gift,1991,,,,United States,1870
UNKNOWN,(Figure of old man and monkey),,sculpture,museum accession,1981,,,,China,
"MERCER, Anne",Tie plate,,object,gift,1991,,1945,,South Africa,1991
"RANERI, Tiziana (Painter)",Wild at heart,,object,gift,1991,,1962,1959,Australia,1991
"ROBINSON, William (Painter)",Forest encounter,,object,gift,1991,,1936,1941,Australia,1990
"VESTERBERG, Katarina","Les Terres Australes 1714, Guillaume de L'Isle",,painting,gift,1995,,1962,,Australia,1990
"MARTENS, Conrad","House and garden, Goomburra",,painting,gift,1999,,1801,1878,United States,1853
"MILLER, William (Engraver)","Norham Castle, moonrise",,graphics,gift,1953,,1796,1882,,1834
"BATTARBEE, Rex",(Central Australian landscape),,painting,gift,2001,,1893,1973,Australia,1947
"HOEDEMAN, Co (Creator)",Le chateau de sable (The sand castle),,video art,assisted purchase,2004,,1940,,,1977
"MERCER, Robert","Back of cottages, Mantaka, NQ (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1949,,United States,1986
"WAYNE, June (Creator)",The canonization (from 'John Donne:  Songs and sonets' book),,object,gift,1994,,1918,2011,,1958
"WAYNE, June (Creator)",The anniversarie (from 'John Donne:  Songs and sonets' book),,object,gift,1994,,1918,2011,,1958
"MENPES, Mortimer","Whistler:  looking right, monocle left eye",,graphics,museum accession,1998,,1855,1938,United States,1889
STELARC (Creator),"Event for stretched skin no. 4 (Munich, Germany, 1977) (from 'Suspensions' portfolio)",,graphics,gift,1993,,1946,,,1990
"RUPERT, Nura (Decorator)",Textile length,,object,gift,1999,,1933,1948,South Africa,1982
"GOULD, John (Collaborating artist)",Dasyurus Geoffroyi (Geoffroy's Dasyurus) (from 'The mammals of Australia' series),,graphics,gift,1987,,1804,1881,,1845
"PAGE, Charles",Mount Isa mine (from 'Journeys north' portfolio),,photography,museum accession,1987,,1946,,Australia,1986
"BURSTOW, Graham","Tree planting, Toowoomba (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1927,2022,Australia,1986
"ELLIOTT, William",Covered urn,,object,gift,1969,,,,,1814
"TESTA, Pietro",The Dream of Joseph,,graphics,,,,1611,1612,Italy,1635
"TOYOKUNI, Utagawa (Creator)",Sawamura Sojuro as a samurai,,graphics,museum accession,1967,,1769,1825,,1820
LUO BROTHERS,Untitled (Children with elephant),,object,gift,2001,,1963,1964,China,2000
LUO BROTHERS,Untitled (Children with storks),,object,gift,2001,,1963,1964,China,2000
"RICHARDS, Michael",Bathtub,,photography,museum accession,1984,,1948,,Australia,1978
"GRIFFITHS, Alan","Balmarra, Seven Sisters",,object,gift,2005,,1933,,,2002
"GRIFFITHS, Alan","Balmarra, untitled",,object,gift,2005,,1933,,,2002
"GURRUWIWI, Malu",Banumbirr (Morning Star pole),,sculpture,museum accession,2005,,1942,2020,Australia,2003
"SMITH, Jack",14 Elements,,painting,gift,1975,,1928,2011,,1971
"WHITE, Minor",Abstraction,,photography,gift,1996,,1908,1976,United States,1963
CONTI (Manufacturer),Box:  La presentation (The presentation),,object,gift,1963,,,,,1910
"POTTS, David","The Thames, London (from 'London for ""The Observer""' series)",,photography,gift,1997,,1926,2012,New Zealand,1954
KORYUSAI (Creator),In the gay quarters (no. 9 from a set of twenty-five reprints),,graphics,gift,1990,,1955,,,1955
attrib. to GULPITJA,"Ji-inwa (crows) at Unwara-dina-madja, Bustard Islands [IMAGE RESTRICTED]",,painting,gift,1991,,1940,,Australia,1948
"MEDWORTH, Frank",Champions of the Red Lion,,graphics,museum accession,1995,,1892,1947,United States,1925
"OWEN, George Seymour",(Farmhouse with fields),,painting,gift,1999,,1844,1921,United States,1889
"NAKABAYASHI, Tadayoshi",Transposition '87 - Ground IV,,graphics,museum accession,1989,,1937,,Japan,1987
"HARRINGTON, Catherine",Serving dish (burgundy) (from 'Setting II' series),,object,assisted purchase,1997,,1959,,United States,1996
"MARSLAND, Sally",Salt shaker,,object,assisted purchase,1997,,1969,,Australia,1995
"PATON, George",Folded spiral container,,object,museum accession,1997,,1962,,United States,1997
"PATON, George",Two waves container,,object,museum accession,1997,,1962,,United States,1997
JENUARRIE,A change came over the spirit of my dream,,graphics,gift,1993,,1944,,Australia,1993
"SIMMONDS, Rose","(Two small girls in red, making sand castles, with a dog)",,photography,gift,1993,,1877,1960,Australia,1938
"TIPPING, Richard (Creator)",Form 1 planet (from 'The Sydney Morning volume III' series),,graphics,gift,1993,,1949,,,1992
"WOLSELEY, John (Creator)",Dunes climbing mountain (from 'The Simpson Desert survey' series),,graphics,gift,1994,,1938,,,1992
"MATISSE, Henri (Creator)",La Belle Martiniquaise - Les Fleurs du Mal,,graphics,assisted purchase,1993,,1869,1954,,1946
"FINCH, Lynette (Creator)",Sexual harassment (from untitled series),,graphics,gift,1991,,1959,,,1984
"FINCH, Lynette",Working drawing for 'Tailoring jobs to people',,graphics,gift,1991,,1959,,Australia,1987
"SELLBACH, Udo","(Untitled 4) (from 'Night watch, a print cycle of thirty etchings' portfolio)",,graphics,gift,1991,,1927,2006,South Africa,1990
"SPENCER, Lucy",Wall pocket,,object,gift,1991,,1896,1984,Australia,1940
"NAPANANGKA, Makinti",Travels of the Kungka Kutjarra (Two women),,painting,gift,1997,,1930,2011,Australia,1997
"TJUPURRULA, Turkey Tolson (Creator)",Water to north (from untitled series),,graphics,gift,1997,,1938,2001,,1992
"KUNISADA, Utagawa (Creator)","Patriot girl, Princess Shiranui",,graphics,gift,1993,,1786,1865,,1854
"BRECHT, George",The paradox shirt,,graphics,gift,1995,,1926,2008,United States,1977
"REES, Lloyd",Vignette of chancel and one tower of Cathedral,,graphics,gift,1999,,1895,1988,Australia,1912
"REES, Lloyd",Howard Smith's wharves etc. from near kitchens (Creek at Cooroy) picnic,,graphics,gift,1999,,1895,1988,Australia,1916
"MENPES, Mortimer",Self portrait,,graphics,gift,1999,,1855,1938,United States,1936
"BRYANT, Darren","East view:  On a clear day, you can see forever",,graphics,gift,1999,,1971,,New Zealand,1999
"NOLAN, Sidney (Creator)",Kelly (no. 7 from 'Dust' series),,graphics,gift,1978,,1917,1992,,1971
ANUSAPATI,Object no. 6,,sculpture,museum accession,1996,,1957,,Indonesia,1996
"ESTES, Richard (Creator)",Piccadilly Station (from 'Urban landscapes no. 2' portfolio),,graphics,museum accession,1996,,1932,,,1979
"SEBEDI, Mmakgabo Helen",Celebration after initiation (from 'Volatile alliances' 1995 portfolio),,graphics,gift,1998,,,,South Africa,1995
"KUNISADA, Utagawa",The actor Banto Minosuke as Kumagaya Jiro Naozane enacting a battle tale,,graphics,gift,1990,,1786,1865,Japan,
UNKNOWN,Netsuke:  (faun on pedestal),,sculpture,bequest,1975,,,,Japan,
"SIME, Ian (Creator)",The Pius Pill (no. 5 from 'The Broadsheet' series),,graphics,gift,1989,,1926,1989,,1968
"RANGER, Cindy (Creator)",Witch doctor? (from 'Special edition' series),,graphics,gift,1994,,1967,,,1994
"RIMZON, N.N.",House of heavens,,sculpture,gift,1996,,1957,,India,1995
"HERON, Patrick (Creator)",Three reds in magenta and dark green in blue,,graphics,museum accession,1973,,1920,1999,,1970
"JOHNSON, Tim (Artist)",Two phoenix,,painting,gift,2006,,1947,1964,New Zealand,2005
"TOWNSHEND, G.K.","The homestead, Gloucester, NSW",,painting,museum accession,1956,,1888,1969,New Zealand,1956
"TUCKER, Albert",Gippsland gully,,painting,museum accession,1965,,1914,1999,Australia,1964
UNKNOWN,(View of a windmill),,photography,gift,1991,,,,,1892
"MARSLAND, Sally",Big yellow composite #2,,,gift,2000,,1969,,Australia,2000
"CHIKANOBU, Toyohara (Creator)","Beauty holding a censor in her hand, enjoying the smell of burning incense (from 'Shin bijin' (New beauties) series)",,graphics,museum accession,2000,,1838,1912,,1897
"MARSLAND, Sally",Very big green composite,,,gift,2000,,1969,,Australia,2000
"DAVIES, David","Rue St. Severin and the Old Arcades, Dieppe",,painting,museum accession,1973,,1864,1939,Australia,
"REYDON, Cotje",Textile length,,object,gift,1987,,1887,1971,Australia,
UNKNOWN,"Four-fold, lacquer-framed screen (double-sided, green and shot-purple)",,object,gift,1990,,,,Japan,1900
"TOYOKUNI, Utagawa (Creator)",The actor Onoe Matsusuke II as a samurai,,graphics,museum accession,1967,,1769,1825,,1812
UNKNOWN,Construction of new Indooroopilly Bridge after floods,,photography,gift,2003,,,,United States,1893
"CONDER, Charles",Siesta (Swanage),,graphics,gift,2009,,1868,1909,United States,1900
"KUTSCHBACH, Michael","go, you little dynamo, go!",,sculpture,gift,2009,,1975,,Australia,2008
"GRANT, Gwendolyn",Pair of bowls,,object,gift,1992,,1877,1968,Australia,1927
"BILLINGTON, Robert",Georgie (from 'Rustic Paradise' series),,photography,gift,1993,,1954,,New Zealand,1991
"SIMMONDS, Rose","(Two small girls in red, filling sand buckets in shallow water)",,photography,gift,1993,,1877,1960,Australia,1938
"TJAPANGATI, Timmy Payungka",Snake Dreaming,,painting,gift,1997,,1940,2000,Australia,1989
"WANJI WANJI, Susan",Swamp near Maningrida,,painting,museum accession,1992,,1955,,Australia,1991
"TANAKA, Eiichi",Island of sand B,,photography,gift,1992,,1954,,Japan,1991
KUNBARLLANJNJA COMMUNITY,Namarrkon,,painting,gift,1996,,,,Australia,1965
"CLUTTERBUCK, Bob (Creator)",Woolloomooloo mural project,,graphics,assisted purchase,1990,,1951,,,1981
"LANE, Leonie (Creator)",Frock rock,,graphics,assisted purchase,1990,,1955,,,1982
"CARNEGIE, Frances",Coffeepot,,object,gift,1995,,1901,1988,Australia,1935
"KUNISADA, Utagawa",In the village of Ishibe (from 'Actors in landscape along the Tokaido highway' series),,graphics,assisted purchase,1997,,1786,1865,Japan,1860
"REES, Lloyd",(Garden sketches),,graphics,gift,1998,,1895,1988,Australia,1912
"REES, Lloyd",(Brisbane Central Technical College),,graphics,gift,1998,,1895,1988,Australia,1912
"SAINTON, Charles",(Head of a young woman),,graphics,bequest,1948,,1861,1914,,1889
KASTRUP & HOLMEGAARDS GLASVAERK,Freeform dish,,object,gift,1990,,1825,1920,Denmark,1957
"HEYSEN, Hans","Erosions, Flinders Range",,painting,museum accession,1944,,1877,1968,United States,1932
"BAUER, M.A.J.",The entry of the pasha,,graphics,gift,1945,,1867,1932,,1925
"DÜRER, Albrecht (Creator)",The Martyrdom of St John the Evangelist (from 'The Apocalypse' series),,graphics,gift,1949,,1471,1528,,1496
"KENNINGTON, Eric (Creator)","Over the top (from the set 'Making soldiers', in 'The efforts', the first part of 'The Great War:  Britain's efforts and ideals shown in a series of lithographic prints' series)",,graphics,museum accession,1967,,1888,1960,,1917
"KUNISADA, Utagawa (Creator)",The actor Bando Mitsugoro III as Tetsubo,,graphics,museum accession,1967,,1786,1865,,1820
"ASHWORTH, Olive (Creator)",Textile length:  Tropical Cairns,,object,gift,1996,,1915,2000,,1976
"WILLMORE, J.T. (Engraver)",The golden bough,,graphics,,,,1800,1863,,
"JENNER, Isaac Walter",Townsville,,painting,museum accession,1975,,1836,1902,United States,1900
"KENNINGTON, Eric (Creator)","The gas mask (from the set 'Making soldiers', in 'The efforts', the first part of 'The Great War:  Britain's efforts and ideals shown in a series of lithographic prints' series)",,graphics,museum accession,1967,,1888,1960,,1917
"REES, Lloyd",Fig tree and group near river at Milton garage,,graphics,gift,1999,,1895,1988,Australia,1912
"MARAWILI, Djambawa",Baraltja,,painting,gift,2005,,1953,,Australia,2005
"GOUDT, Hendrik (Engraver)",Tobias and the Angel (the 'Large Tobias'),,graphics,gift,1999,,1583,1648,Germany,1613
"SIMIX, Simeon",Paw paw/coconut (from 'Bebellic' portfolio),,graphics,gift,2008,,1981,,,2007
"WILLIAMS, Fred",Somersault (from 'Music hall' series),,graphics,gift,1994,,1927,1982,Australia,1956
"JUNIPER, Robert",Three Kings came,,painting,gift,1992,,1929,2012,,1962
"BARKER, George",Zeriba,,graphics,museum accession,1992,,1942,,New Zealand,1991
"KILLEEN, Richard",Appropriation (from 'Appropriation' series),,painting,museum accession,1992,,1946,,New Zealand,1983
WOMEN'S DOMESTIC NEEDLEWORK GROUP,"'... That as their daughters, daughters up did grow, the needles art to their children show' (no. 9 from 'D'oyley show' series)",,graphics,gift,1993,,1979,1986,New Zealand,1979
"ADAM, Sicander",Design,,graphics,gift,1960,,1930,,South Africa,
"BOYD Sr, Arthur Merric",Hobart,,painting,gift,1955,,1862,1940,Australia,1920
"HOGARTH, William (Creator)",Gin Lane,,graphics,gift,1989,,1697,1764,,1750
"STANNARD, Chris (Creator)",You can have a say (from Tenants' Union of Queensland project),,graphics,bequest,1990,,1961,,,1989
"McDONALD, Robyn (Creator)",Spring cleaning - get rid of your rubbish (from Tenants' Union of Queensland project),,graphics,bequest,1990,,1958,,,1989
"SIBLEY, Andrew",Preliminary drawing for 'The Melbourne panel:  Four new urban saints and accompanying images',,graphics,gift,1992,,1933,2015,Australia,1989
"YANG, William","""Frances, Alan and me at our house on the farm."" Dimbulah 1950's. Photo: Charlie Young. (from 'About my mother' portfolio)",,photography,gift,2004,,1943,,Australia,2003
"LINDSAY, Norman",Priestess to the Magi,,graphics,gift,1972,,1879,1969,Australia,1934
"SCHMEISSER, Jörg",Pagoda and faces (from the four-part work 'The year away'),,graphics,gift,1992,,1942,2012,United States,1991
"FAIRWEATHER, Ian",Untitled (sketch of seated nude female figure),,graphics,bequest,1983,,1891,1974,United States,1920
"GILL, S.T. (Creator)","The Duff children (August 20, 1864) (from 'The Australian sketchbook')",,graphics,museum accession,1962,,1818,1880,,1865
"SHELDON, Vincent",Beach scene,,graphics,gift,1976,,1895,1945,Australia,1928
"GOULD, John (Collaborating artist)",Mus lineolatus (Plain Rat) (from 'The mammals of Australia' series),,graphics,gift,1987,,1804,1881,,1845
"ALBERS, Anni (Creator)",Study for nylon rug 1959 (from 'Connections 1925-83' portfolio),,graphics,museum accession,1990,,1899,1994,United States,1984
"FRY, Ella Osborn",Samuel Goldenberg and Schmuyle (no. 6 from 'Interpretations of music by Moussorgsky' series),,graphics,museum accession,1942,,1916,1997,Australia,1941
"PRESTON, Margaret",Native mistletoe,,graphics,museum accession,1948,,1875,1963,South Africa,1946
"CASPAR, Karl (Printer)",Rueckkehr des verlorenen Sohnes (no. 2 from 'Wassermann Mappe') (Repentance of the prodical son (no. 2 from 'Water-carrier portfolio')),,graphics,museum accession,1976,,1879,1956,,1920
"FAISTAUER, Anton (Creator)",Studie (no. 3 from 'Wassermann Mappe') (Study (no. 3 from 'Water-carrier portfolio')),,graphics,museum accession,1976,,1887,1930,,1920
YANG Zhenzhong,Light and easy no. 17,,photography,gift,2005,,1968,,China,2002
"ARBUZ, Mark (Creator)",Pipes of Pan,,graphics,gift,1993,,1953,2023,,1976
"PAGE, Charles","Lynn and Jenny Cook, twins, Weipa (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1946,,Australia,1987
"THAIDAY Sr, Ken",Weris (Fish scoop),,sculpture,museum accession,2004,,1950,,Australia,2004
"WILLIAMS, Maureen",Round flat vase (from 'Coloured' series),,object,gift,1993,,1952,,Australia,1993
"KAY, Archibald","The Cliff, Appin",,painting,museum accession,1943,,1860,1935,United Kingdom,
"MARSLAND, Sally",Small pink composite,,,gift,2000,,1969,,Australia,2000
"ORSTO, Maria Josette",Kulama body painting,,painting,gift,2003,,1962,,Australia,2002
UNKNOWN (Creator),"(Family group, Hinchinbrook Ranges)",,photography,bequest,1994,,,,,1914
"BUNNY, Rupert","Untitled (female nude, seated with arm resting on dexter knee and head resting on hand)",,graphics,museum accession,1973,,1864,1947,United States,1920
"THAKE, Eric",Wind flower,,photography,gift,1984,,1904,1982,Australia,1962
"BARTOLOZZI, Francesco (Engraver)",Saint Francis of Assisi,,graphics,museum accession,1896,,1727,1815,Italy,1760
PINCHES (Medallist),Medallion:  Filiac Jerusalem,,object,bequest,1982,,1900,1972,Australia,1955
"PAM, Max","Two men with icecream, Chennai, South India (from 'Indian Ocean Journals')",,photography,gift,2009,,1949,,Australia,1990
"VON GUÉRARD, Eugène (Creator)",The Weatherboard Falls (plate VII from 'Australian landscapes' portfolio),,graphics,museum accession,1967,,1811,1901,,1866
"GIMBLETT, Max",Ives Klein - 4,,graphics,gift,2000,,1935,,New Zealand,1985
"TURNER, Charles (Engraver) 1773–1857",Windsor Castle from Salt Hill (plate 74 from 'Liber Studiorum'),,graphics,gift,1953,,1773,1857,,1818
"SANDERS, Christopher",Covered jar,,object,gift,2005,,1952,,Australia,1995
"McKAY, Ian",Mizusashi (storage jar),,object,gift,1990,,1943,1990,Australia,1989
