Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Alfred William Finch,"Malliharjoitelma, nainen, jolla on mustat sukat jalassa",,graphics,,,,1854,1930,,
Alfred William Finch,Hevonen,,graphics,,,,1854,1930,,
Akseli Gallen-Kallela,"Zvicken, nukkuva koira, harjoitelma",,graphics,,,,1865,1931,,
Per Krohg,"Juominki, luonnos Grand Cafén seinämaalaukseen Oslossa",,painting,,,,1889,1965,,1928
Ulla Rantanen,Katukuva,,painting,,2003,,1938,,,1969
Verner Thomé,Pääkallo,,painting,,,,1878,1953,,
Ilmari Huitti,Mietteissä,,painting,,,,1897,1960,,1930
Oskari Paatela,Maisema Suursaarelta,,,,,,1888,1952,,1925
Albert Edelfelt,Taiteilijatar Antoinette Vallgren os. Råström,,painting,,,,1854,1905,,1887
Håkan Brunberg,Tyttö ja miehet mustissa,,,,,,,,,
Hugo Simberg,Edvard Munchin näyttelyn juliste,,graphics,,1928,,1873,1917,,1909
Magnus Enckell,Veneitä rannalla,,painting,,,,1870,1925,,1902
Sigurd Wettenhovi-Aspa,August Strindbergin muotokuva,,painting,,,,1870,1946,,1894
Helmi Kuusi,Omenapuita,,graphics,,,,1913,2000,,1975
Hugo Simberg,Omenien poimija,,graphics,,1987,,1873,1917,,1901
Pentti Kaskipuro,Omenapuu,,graphics,,,,1930,2010,,1963
Pentti Kaskipuro,Omenavati,,graphics,,,,1930,2010,,2001
Eero Järnefelt,Omenapuu,,painting,,,,1863,1937,,1883
Alice Kaira,Naruleikki,,painting,,,,1913,2006,,1987
Marino Marini,Ratsastaja,,painting,,,,1901,1980,,1955
Adolf von Becker,Nukkuva harmaa kissa ja rotta,,painting,,1865,,1831,1909,,1864
Magnus Enckell,"""Hemåt i höstregn""",,graphics,,,,1870,1925,,1896
Adolf von Becker,Kissa poikasineen,,painting,,1864,,1831,1909,,1863
Ina Colliander,Enkeli tulipunainen,,graphics,,,,1905,1985,,1959
Hugo Simberg,Haavoittunut enkeli,,painting,,,,1873,1917,,1903
Maria Wiik,"Makaava kissa, Mosse",,painting,,,,1853,1928,,1872
Kosti Meriläinen,Suomenlinnasta,,graphics,,,,1886,1938,,1917
Albert Edelfelt,"Von Essen-runon alkukirjain H, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,graphics,,,,1854,1905,,1897
Lars-Gunnar Nordström,Konstruktio,,sculpture,,,,1924,2014,,1954
Gino Forti,Debora,,graphics,,,,,,,1994
Duilio Rossoni,Maisema Laziosta I,,painting,,2009,,,,,2008
Ole Kandelin,Nuorallatanssija,,painting,,,,1920,1947,,1944
Eino Ahonen,Tilanpäiten,,graphics,,1971,,1941,,,1971
Leo Lindsten,Ylösnousemus,,painting,,,,1943,1988,,1969
Aukusti Uotila,Soitannollisen kodin sisäkuva,,painting,,,,1858,1886,,1879
Johannes Takanen,"Narkissos, luonnos",,sculpture,,1886,,1849,1885,,1875
Karl Emanuel Jansson,"""Nuoruudenystävän"" muotokuva (Hjalmar Montell)",,painting,,1895,,1846,1874,,1866
Tuulikki Pietilä,Colloquio di donne,,graphics,,,,1917,2009,,1952
Pentti Kaskipuro,Nukkuva kissa,,graphics,,,,1930,2010,,1980
Pentti Kaskipuro,Istuva kissa,,graphics,,,,1930,2010,,1980
Johannes Takanen,Istuva kissa,,sculpture,,,,1849,1885,,1860
Ville Vallgren,August Strindbergin rintakuva,,sculpture,,1888,,1855,1940,,1885
Magnus Enckell,Luonnoskirja,,graphics,,1926,,1870,1925,,
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1888
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1888
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1901
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1923
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1911
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1890
Ellen Thesleff,Luonnoskirja,,graphics,,,,1869,1954,,1902
Berndt Lindholm,Höyrylaiva jäissä,,painting,,,,1841,1914,,1878
Akseli Gallen-Kallela,Tali ja Adolf Paulin exlibris,,graphics,,1917,,1865,1931,,1897
Greta Hällfors-Sipilä,Fiikus-laulu,,painting,,,,1899,1974,,1917
Auguste Rodin,Ovidiuksen Metamorfoosit,,sculpture,,1893,,1840,1917,,1885
Akseli Gallen-Kallela,Väinämöinen ja impi,,sculpture,,,,1865,1931,,1896
Akseli Gallen-Kallela,Kuolema ja kukka,,graphics,,1903,,1865,1931,,1896
Akseli Gallen-Kallela,"Ilmarinen kyntää kyisen pellon, luonnos Suomen
paviljongin kupolifreskoihin Pariisin vuoden
1900 maailmannäyttelyyn",,painting,,,,1865,1931,,1899
Akseli Gallen-Kallela,Venevanhus,,painting,,2008,,1865,1931,,1924
Akseli Gallen-Kallela,"Tuonelan joella, esityö Juseliuksen mausoleumin freskoa varten",,painting,,,,1865,1931,,1903
Magnus Enckell,Luonnoskirja,,graphics,,1926,,1870,1925,,
Akseli Gallen-Kallela,Mount Kenya,,painting,,,,1865,1931,,1909
Frans Maexmontan,Barösund,,painting,,,,1847,1901,,1889
Akseli Gallen-Kallela,Portti Taosissa,,painting,,,,1865,1931,,1925
Akseli Gallen-Kallela,Hugo Samzeliuksen exlibris,,graphics,,1924,,1865,1931,,1904
Johan Carl Neumann,Merikuva,,graphics,,1871,,1833,1891,,1870
Unto Pusa,Maisema,,painting,,,,1913,1973,,1962
Akseli Gallen-Kallela,Anna Slöörin exlibris,,graphics,,,,1865,1931,,1896
Akseli Gallen-Kallela,Taos-vuoret pilvien peitossa,,painting,,,,1865,1931,,1924
Ilja Repin,"Julia Jakub, muotokuvaharjoitelma",,graphics,,,,1844,1930,,1879
Akseli Gallen-Kallela,Kalman kukka (ilman runotekstiä),,graphics,,1917,,1865,1931,,1895
Akseli Gallen-Kallela,Karjalainen nainen,,painting,,1917,,1865,1931,,1891
Robert Wilhelm Ekman,"Ilmarinen ja Pohjan neito ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1860
Robert Wilhelm Ekman,Tuulet puhaltavat ahjoon,,graphics,,,,1808,1873,,1860
Ferdinand von Wright,Palokärki,,painting,,,,1822,1906,,1831
Oscar Hullgren,Takapihalta,,graphics,,1919,,1869,1948,,
Werner Holmberg,"Metsänsisusta, jyrkkä kallioseinämä, puita",,graphics,,1890,,1830,1860,,1848
Robert Wilhelm Ekman,"Ilmarinen takoo sampoa ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar R.W.Ekman""",,graphics,,,,1808,1873,,1860
Robert Wilhelm Ekman,Kansallispukuinen selin seisova nainen,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,"Kirkonvartija Erik Sarenin muotokuva, luonnos",,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Selin seisova moralaisnainen,,painting,,,,1808,1873,,1840
Robert Wilhelm Ekman,"Lemminkäinen ja Hiiden hirvi ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1860
Robert Wilhelm Ekman,Istuva talonpoikaisnainen St Andresta sekä selkäharjoitelma samasta naisesta,,painting,,,,1808,1873,,
Wilhelm von Wright,"Maria Elisabeth von Wright, taiteilijan äiti",,graphics,,,,1810,1887,,1844
Jean-Louis Forain,Folies Bergeresta,,graphics,,1919,,1852,1931,,
Akseli Gallen-Kallela,Pirtin salvoksella,,painting,,,,1865,1931,,1906
Werner Holmberg,Lehtipuuryhmä,,graphics,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,Adlercreutz. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
François Feyen-Perrin,Merimiehen lapsuus,,graphics,,1919,,,,,1870
Werner Holmberg,Kuunari Hoppet ankkurissa Rödhamnissa Ahvenanmaalla 26.6.1853,,graphics,,1889,,1830,1860,,1853
Werner Holmberg,"Maisema, metsikkö ja halkopino",,graphics,,1890,,1830,1860,,1858
Akseli Gallen-Kallela,"Yösija nuotiolla, 12. luku",,graphics,,,,1865,1931,,1907
Robert Wilhelm Ekman,Winåkerilaispoika kansanpuvussa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Italialainen maalaistalo,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Kristus herättää vainajan,,graphics,,,,1808,1873,,
Åke Hellman,Itäkarjalainen tyttö,,painting,,,,1915,2017,,1944
Ferdinand von Wright,Närhi,,painting,,,,1822,1906,,1831
William Unger,Am Karst,,graphics,,1919,,1837,1932,,
Robert Wilhelm Ekman,"Taalalainen kerjäläisperhe, nainen kolmen lapsen kanssa",,graphics,,,,1808,1873,,1836
Robert Wilhelm Ekman,Vänrikin markkinamuisto. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,"Väinämöinen ja Aino, luonnos Kalevala-piirrossarjaan",,graphics,,,,1808,1873,,1860
Ferdinand von Wright,Vasikka pilttuussa,,graphics,,,,1822,1906,,
Robert Wilhelm Ekman,Viisi erilaisissa tilanteissa olevaa poikaa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"""Satu seitsemästä sisaruksesta"", luonnos Haeggströmin sisarusten ryhmämuotokuvaa (1862) varten",,painting,,,,1808,1873,,1862
Akseli Gallen-Kallela,"Hirsien kantaminen, 11. luku",,graphics,,,,1865,1931,,1907
Akseli Gallen-Kallela,Luonnos ensimmäisen luvun otsakekuvaksi,,graphics,,,,1865,1931,,
Werner Holmberg,Kesämaisema,,painting,,1890,,1830,1860,,1858
Werner Holmberg,"Metsänsisusta ja harjoitelma puiden rungoista ; Metsänsisusta, edessä oikealla iso kivi (kaksipuolinen teos)",,painting,,1890,,1830,1860,,1859
Adolf von Becker,Vauva sekä luonnoksia vauvan kasvoista ja niskasta,,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,"Lemminkäisen surma ; Originaalipiirustus piirrossarjaan ""Kalewala, Fink National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1860
Wilhelm von Wright,"Anna Christina von Wright, taiteilijan isoäiti",,graphics,,,,1810,1887,,1844
Robert Wilhelm Ekman,Mies kädet puuskassa ja nainen kansallispuvussa,,graphics,,,,1808,1873,,
Werner Holmberg,"Maisema, puuryhmä ja puron yli johtava silta",,graphics,,1890,,1830,1860,,1858
Werner Holmberg,Sammaleinen kallio metsässä,,painting,,1890,,1830,1860,,1857
Constantin Hansen,Autio luostarinpiha,,painting,,1953,,1804,,,1838
Wilhelm von Wright,Napoleon,,painting,,,,1810,1887,,1826
Ferdinand von Wright,Erilaisia luonnoksia lehmistä ja sonneista,,graphics,,,,1822,1906,,
Robert Wilhelm Ekman,Kansallispukuinen seisova nainen edestä ja takaa,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Jouluilta,,graphics,,,,1808,1873,,
Olle Hjortzberg,Seisova tyttö,,graphics,,1919,,1872,,,
Wilhelm Marstrand,Kaipaus,,painting,,1953,,1810,1873,,
Akseli Gallen-Kallela,Luonnos Rukoilevaan impeen,,graphics,,,,1865,1931,,1907
Ilja Repin,Henkilöharjoitelma maalaukseen Odottamaton kotiinpaluu,,graphics,,,,1844,1930,,1883
Christoffer Wilhelm Eckersberg,Venäläisiä purjelaivoja Helsingørin sataman suulla,,painting,,1953,,1783,1853,,1826
Adolf von Becker,Kehräävä nainen,,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,"Mies merestä, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1860
Åke Hellman,Nuori asevelvollinen,,,,,,1915,2017,,1941
Akseli Gallen-Kallela,Intiaani ratsain,,painting,,,,1865,1931,,1925
Werner Holmberg,Kivenjärkäleitä metsässä,,graphics,,1890,,1830,1860,,1857
Robert Wilhelm Ekman,Kristus siunaamassa kahta polvistunutta henkilöä,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Vanha luhti,,graphics,,,,1808,1873,,
Akseli Gallen-Kallela,Suuri hauki,,painting,,,,1865,1931,,1904
Robert Wilhelm Ekman,AIHE Italiasta: Kiemurainen lehtipuu,,graphics,,,,1808,1873,,
Werner Holmberg,Näsijärven lahti,,painting,,1890,,1830,1860,,1857
Robert Wilhelm Ekman,Rouva Ramsay. Kuvitusta Vänrikki Stålin tarinoiden runoon Matkamiehen näky,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Luurankoharjoitelma lapaluista ja säärestä,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Nainen, joka nojaa leukaansa vasempaan käteen",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"""En Mora kulla för bocken på bete"", nainen ratsastamassa pukilla",,graphics,,,,1808,1873,,1836
Eero Järnefelt,Vesileinikki ja rantakivet,,painting,,,,1863,1937,,1895
Werner Holmberg,"Maisema, vasemmalla metsänpeittämä vuori ja oikealla edessä tasaista maata",,painting,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,Maalaistalon kaivo,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Italialaisen talon seinämuuria ja ovi,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Maisema, Grottaferrata",,graphics,,,,1808,1873,,
Akseli Gallen-Kallela,Tanssivia kikujusotilaita,,painting,,,,1865,1931,,1909
Robert Wilhelm Ekman,Interiööri...,,painting,,,,1808,1873,,1840
Robert Wilhelm Ekman,Maisema,,graphics,,,,1808,1873,,
Ferdinand von Wright,"Maisema, jossa on sorsia",,graphics,,,,1822,1906,,
Akseli Gallen-Kallela,Kalman kukka,,graphics,,,,1865,1931,,1895
Hugo Simberg,Exlibris J. A. Thesleff,,graphics,,,,1873,1917,,1899
Adolf von Becker,Pikettipeli,,painting,,1891,,1831,1909,,1869
Robert Wilhelm Ekman,Mahallaan makaava poika,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Elonkorjuujuhla, luonnos",,painting,,,,1808,1873,,
Akseli Gallen-Kallela,Käsikivillä jauhaja,,painting,,,,1865,1931,,1886
,Talvimaisema,,painting,,1953,,,,,
Robert Wilhelm Ekman,Istuva poika purjevene sylissään,,graphics,,,,1808,1873,,
Karl Emanuel Jansson,"Italialainen poika, kopio R.W. Ekmanin mukaan",,painting,,1874,,1846,1874,,1861
Robert Wilhelm Ekman,"Luonnos työhön ""Utsikt av Navigationsskolan i Åbo""",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Sotavanhus. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Werner Holmberg,Maihin tukin päälle vedetty soutuvene,,graphics,,1890,,1830,1860,,1857
Arnaldo Battistoni,Parveke,,graphics,,,,,,,1950
Robert Wilhelm Ekman,"Väinämöinen laulaa Joukahaisen suohon ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1861
Werner Holmberg,Nuoria puita kasvava metsänsisusta,,graphics,,1890,,1830,1860,,1853
Robert Wilhelm Ekman,"Rantamaisema, höyrylaivoja ja tykkiveneitä",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,AIHE Italiasta: Jalkatutkielma ; toisella puolella sama aihe,,graphics,,,,1808,1873,,
Akseli Gallen-Kallela,Kuolema ja kukka,,graphics,,,,1865,1931,,1896
Akseli Gallen-Kallela,Rantakallioita,,graphics,,,,1865,1931,,
Robert Wilhelm Ekman,"Sisäkuva, luonnos teokseen Haavoittunut karhunmetsästäjä",,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Näköala altaanilta katon yli Rocca di Papaan,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Kohtaus Hirvenhiihtäjistä, luonnos",,painting,,,,1808,1873,,1856
Robert Wilhelm Ekman,Döbeln Juuttaalla. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Chobunsai Eishi,Geisha,,graphics,,1919,,,,,
Robert Wilhelm Ekman,Kädet sylissä istuva nainen. Sivuilla harjoitelmat kolmesta vaatekappaleesta.,,painting,,,,1808,1873,,1840
Magnus von Wright,"Sääksmäen kirkko, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1805,1868,,1847
Robert Wilhelm Ekman,"Interiööri, jossa pata tulella",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Tutkielma oikean käden luista,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Lieden vieressä istuva villaa karstaava nainen,,graphics,,,,1808,1873,,
Akseli Gallen-Kallela,Juliste Saksalaiseen taidenäyttelyyn Ateneumissa 1922,,graphics,,1924,,1865,1931,,1922
Akseli Gallen-Kallela,Munchin ja Gallenin näyttelyn juliste,,graphics,,1924,,1865,1931,,1895
Nunzio Gulino,Nuorallatanssija Urbinossa,,graphics,,,,,,,1958
Akseli Gallen-Kallela,Kuolema ja kukka,,graphics,,,,1865,1931,,1896
Pirkko Nukari,Mennyt kesä,,sculpture,,2003,,1943,,,1988
Robert Wilhelm Ekman,"Lemminkäisen pako saarelta, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1864
Lennart Forstén,"Tornio, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1817,1886,,
Robert Wilhelm Ekman,"Italialainen maisema, Palazzolo",,graphics,,,,1808,1873,,1841
Robert Wilhelm Ekman,"Tuulet puhaltavat ahjoon, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Maisema,,graphics,,,,1808,1873,,
Anders Ekman,"Alaston mies, harjoitelma",,painting,,1857,,1833,1855,,1854
Robert Wilhelm Ekman,Seisova poika karttu vasemmassa kädessä,,painting,,,,1808,1873,,1840
Robert Wilhelm Ekman,Olkikattoinen rakennus,,graphics,,,,1808,1873,,
Anders Ekman,Rukoileva poika,,painting,,1857,,1833,1855,,1853
Adolf von Becker,Viulunsoittaja,,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,Tyttö kahden lapsen kanssa,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Talonpoikaisnainen ja tyttö Joutsenosta,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Agave ; toisella puolella luonnos istuvasta naisesta,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Kansallispukuinen nainen,,painting,,,,1808,1873,,
Arnaldo Battistoni,Kaksi hahmoa maisemassa,,graphics,,,,,,,1943
Armid Sandberg,Nainen,,graphics,,,,1876,1927,,
Jacob Boström,"Oulu, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1812,1881,,1844
Robert Wilhelm Ekman,"Tuli karkaa, luonnos Kalevala-aiheiseen piirrossarjaan ; Vene saapumassa rantaan (kaksipuolinen teos)",,graphics,,,,1808,1873,,1864
Werner Holmberg,Ohdake,,graphics,,1890,,1830,1860,,1853
Akseli Gallen-Kallela,Rantamaisema,,graphics,,,,1865,1931,,1916
Adolf von Becker,"Eteenpäin kumartuva tyttö, oikea käsi tuolin selkänojalla",,graphics,,,,1831,1909,,
Robert Wilhelm Ekman,Nuori nainen istuu penkillä pieni lapsi sylissään,,graphics,,,,1808,1873,,1849
Pehr Adolf Kruskopf,"Kaukola, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1805,1852,,1844
Akseli Gallen-Kallela,Rauman kirkko,,graphics,,,,1865,1931,,1905
Robert Wilhelm Ekman,Istuva talonpoikaisnainen Lappvedeltä,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Kerjäläispoika laukku selässä,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Miehen rintakuva,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,"Interiööriluonnos, jossa kauppias Julinin muotokuva",,graphics,,,,1808,1873,,
Johan Knutson,"Kankaisten kartano, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,1816,1899,,1844
Werner Holmberg,Kaksi paljasta koivunrunkoa ja pensaita,,painting,,1890,,1830,1860,,1859
Alphonse Legros,Die Opfer des Brandes,,graphics,,1919,,1837,1911,,
Robert Wilhelm Ekman,"Lemminkäisen äiti Tuonelassa, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1859
Robert Wilhelm Ekman,Talonpoikaistupa,,graphics,,,,1808,1873,,
Akseli Gallen-Kallela,Juliste Zornin näyttelyyn,,graphics,,1906,,1865,1931,,1906
Robert Wilhelm Ekman,"Väinämöisen polvenhaava ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1860
Robert Wilhelm Ekman,Adlercreutz. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Jan Kenneth Weckman,Minun maailmani,,painting,,,,1946,,,2007
Werner Holmberg,Maisema Näsijärveltä,,graphics,,1890,,1830,1860,,1857
Akseli Gallen-Kallela,Nuoren Suomen vignetti,,graphics,,1906,,1865,1931,,1905
Robert Wilhelm Ekman,Piharakennuksia ja tynnyreitä,,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Italialainen rosvo,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,"Jänis tuo sanan Ainon kuolemasta. Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1861
Hilda Flodin,Vanha nainen,,graphics,,1919,,1877,1958,,
Adolf von Becker,Venäläinen teenmyyjä,,graphics,,,,1831,1909,,1870
Robert Wilhelm Ekman,Taistelukohtaus,,graphics,,,,1808,1873,,
Félix Bracquemond,Léon Cladelin muotokuva,,graphics,,1919,,1833,1914,,1883
Werner Holmberg,Metsäinen mäki,,graphics,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,"Väinämöinen luo valon, luonnos Kaleva-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1859
Akseli Gallen-Kallela,Ulvilan navetta,,graphics,,,,1865,1931,,
Eero Järnefelt,Kalliopetäjä,,graphics,,,,1863,1937,,1907
Akseli Gallen-Kallela,"Bil-Bol, autoliikkeen juliste",,graphics,,1907,,1865,1931,,1907
Werner Holmberg,Puu- ja maisemaharjoitelmia paperin molemmin puolin,,graphics,,1890,,1830,1860,,1859
Werner Holmberg,Metsänsisusta kivineen ja kantoineen,,graphics,,1890,,1830,1860,,1858
Ferdinand von Wright,"Karikatyyri; nainen, jolla linnun pää",,graphics,,,,1822,1906,,1880
Robert Wilhelm Ekman,"Sunnuntai-ilta isoäidin luona (Isoäidin syntymäpäivä), luonnos",,painting,,,,1808,1873,,1861
Robert Wilhelm Ekman,"Italialaisen pikkukaupungin katu, jonka reunoilla on matalia hökkeleitä ja keskellä kadun yli kulkeva silta.",,graphics,,,,1808,1873,,
Anders Ekman,Tytön pää,,painting,,1857,,1833,1855,,1854
Akseli Gallen-Kallela,Luminen mänty,,graphics,,,,1865,1931,,1905
Robert Wilhelm Ekman,Pukuharjoitelma Helsingin Vanhan Kirkon alttaritaulua varten,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Talonpoikaisnainen Ruokolahdelta istumassa kädet esiliinan alla,,painting,,,,1808,1873,,
Elin Maria Palmros,"Rantakuva, vene kapulasillalla",,graphics,,1919,,1866,,,
Robert Wilhelm Ekman,AIHE Italiasta: Kaksi munkkia,,graphics,,,,1808,1873,,
Arnaldo Battistoni,Kylä,,graphics,,,,,,,1968
Helene Schjerfbeck,Kaksi naisprofiilia (etualalla Marianne Preindelsberger),,painting,,,,1862,1946,,1881
Robert Wilhelm Ekman,Kirjavamyssyinen pojanpää,,painting,,,,1808,1873,,
Wilhelm von Wright,"Ferdinand von Wright, taiteilijan veli",,graphics,,,,1810,1887,,1844
Robert Wilhelm Ekman,Maisema. Etualalla järvi ja taustalla kukkuloita. Oikealla rannassa kaksi pienehköä majaa.,,painting,,,,1808,1873,,
Akseli Gallen-Kallela,Talvihämärä,,graphics,,,,1865,1931,,1897
Robert Wilhelm Ekman,leikkiviä talonpoikaislapsia,,graphics,,,,1808,1873,,
Arnaldo Battistoni,Kaksi figuuria interiöörissä (Kaksi piirtäjää),,graphics,,,,,,,1949
Werner Holmberg,Kesämaisema,,painting,,1890,,1830,1860,,1858
Tuulikki Pietilä,Arktinen näky,,graphics,,,,1917,2009,,1966
Robert Wilhelm Ekman,Maisema Sabinilaisvuorelta,,painting,,,,1808,1873,,1830
Robert Wilhelm Ekman,"Taistelu Sammosta, luonnos Kalevala-aiheiseen piirrossarjaan ; Lemminkäinen tulee mukaan samporetkelle (kaksipuolinen teos)",,graphics,,,,1808,1873,,1864
Alexander Lauréus,Lukeva vanha nainen,,graphics,,1889,,1783,1823,,
Tuulikki Pietilä,Marionetit - Colombine ja Pierrot,,graphics,,,,1917,2009,,1982
Akseli Gallen-Kallela,Talvinen Kalela,,graphics,,,,1865,1931,,1897
Akseli Gallen-Kallela,Kullervo petokarjoineen,,painting,,,,1865,1931,,1917
Robert Wilhelm Ekman,Kulneff. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Werner Holmberg,"Metsäinen vuori, niittyjä ja maalaistalo",,painting,,1890,,1830,1860,,1858
Robert Wilhelm Ekman,"Väinämöinen ja Aino ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,graphics,,,,1808,1873,,1861
Wilhelm von Wright,"Magnus (Henrik) von Wright, taiteilijan isä",,graphics,,,,1810,1887,,1844
Robert Wilhelm Ekman,Kansallispukuinen nainen,,graphics,,,,1808,1873,,
Åke Hellman,Jukka,,,,,,1915,2017,,1943
Robert Wilhelm Ekman,Tanssi tuvassa,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,"""Rocca di Papa"", näköala yli vuoren, jossa on rakennuksia",,graphics,,,,1808,1873,,
Robert Wilhelm Ekman,Lotta Svärd. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Pilven veikko?. Kuvitusta Vänrikki Stålin tarinoihin,,graphics,,,,1808,1873,,1869
Robert Wilhelm Ekman,Italialaisen kaupungin katu,,painting,,,,1808,1873,,
Robert Wilhelm Ekman,Kahdesta koukusta riippuva nahkainen kehto,,graphics,,,,1808,1873,,
Adolf von Becker,Lääkepullo vasemmassa ja lusikka oikeassa kädessä melkein selin seisova vanhahko nainen,,graphics,,,,1831,1909,,
Oscar Parviainen,Saluto,,graphics,,1919,,1880,1938,,1907
Werner Holmberg,Leppälahden talo Kurussa,,painting,,1890,,1830,1860,,1857
Robert Wilhelm Ekman,"Ilmatar aalloilla, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1859
Tuulikki Pietilä,Jokapäiväinen leipämme,,graphics,,,,1917,2009,,1972
Robert Wilhelm Ekman,"Kullervo katkoo kapalonsa, luonnos Kalevala-aiheiseen piirrossarjaan",,graphics,,,,1808,1873,,1864
Robert Wilhelm Ekman,AIHE Italiasta: Käsivarteensa nojaava puoliksi makaava nainen,,graphics,,,,1808,1873,,
Arnaldo Battistoni,Asetelma,,graphics,,,,,,,1944
Robert Wilhelm Ekman,"Italialainen kappeli, luonnos",,painting,,,,1808,1873,,
Nunzio Gulino,Apuglia,,painting,,,,,,,1980
Robert Wilhelm Ekman,Ruiskumestari paloruisku käsissään,,graphics,,,,1808,1873,,
